ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58565767	58565954	58565856	58565954	58557976	58558057	0	0,0,1,0,0,0	0,1,1,0,1,1	0,1,2,0,0,1	0,5,0,7,0,1	185	96	1	1.0	NA,0.0,0.342,NA,0.0,0.0	NA,0.094,1.0,0.0,NA,0.342	-0.274
4	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121556119	121556351	121556241	121556351	121555205	121555359	4	1,0,0,0,0,0	8,8,5,3,0,6	0,0,0,1,0,0	1,3,5,2,3,1	218	96	1	1.0	0.052,0.0,0.0,0.0,NA,0.0	0.0,0.0,0.0,0.18,0.0,0.0	-0.02
6	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75713452	75713631	75713539	75713631	75699912	75700095	6	4,3,5,3,6,3	1,0,2,0,1,1	2,3,4,6,5,5	0,0,0,0,0,0	183	96	1	1.0	0.677,1.0,0.567,1.0,0.759,0.611	1.0,1.0,1.0,1.0,1.0,1.0	-0.231
8	"ENSMUSG00000057181"	"5730455P16Rik"	chr11	-	80377753	80378034	80377841	80378034	80376802	80376883	8	0,0,0,1,0,0	2,2,2,0,0,2	0,0,0,0,0,0	0,0,0,1,0,2	184	96	1	1.0	0.0,0.0,0.0,1.0,NA,0.0	NA,NA,NA,0.0,NA,0.0	0.2
11	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873509	124873332	124873479	124874218	124874348	11	15,15,6,12,9,17	0,0,0,0,0,1	14,17,18,14,16,22	0,0,0,1,0,0	126	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.928	1.0,1.0,1.0,0.914,1.0,1.0	0.002
12	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124886682	124886946	124886682	124886779	124887757	124887819	12	4,13,7,8,3,10	0,0,0,0,0,1	5,6,6,10,12,13	0,0,0,0,0,0	263	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.785	1.0,1.0,1.0,1.0,1.0,1.0	-0.036
16	"ENSMUSG00000019539"	"Rcn3"	chr7	-	45092095	45092221	45092104	45092221	45091440	45091688	16	2,4,1,0,3,1	0,3,0,1,0,0	0,1,1,2,1,1	0,0,0,0,0,2	105	96	1	1.0	1.0,0.549,1.0,0.0,1.0,1.0	NA,1.0,1.0,1.0,1.0,0.314	-0.105
17	"ENSMUSG00000020486"	"Sept4"	chr11	+	87588717	87589085	87588717	87588852	87589174	87589276	17	13,24,5,13,8,8	0,0,0,0,0,0	3,6,9,7,7,7	0,0,0,0,2,0	329	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.505,1.0	0.083
20	"ENSMUSG00000052812"	"Atad2b"	chr12	+	4940091	4941766	4940091	4940245	4941971	4942074	20	0,2,0,0,0,0	2,1,0,0,0,0	0,1,0,1,0,0	0,1,0,2,0,1	1617	96	1	1.0	0.0,0.106,NA,NA,NA,NA	NA,0.056,NA,0.029,NA,0.0	0.025
22	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35671225	35671357	35671229	35671357	35670865	35670962	22	1,0,1,3,0,1	0,0,0,0,0,0	0,4,0,1,0,4	0,0,1,0,0,0	100	96	1	1.0	1.0,NA,1.0,1.0,NA,1.0	NA,1.0,0.0,1.0,NA,1.0	0.25
